cty,Name,Fraction_Married_rP_gP_pall
cty27155,"Traverse County, MN",0.6326
cty27023,"Chippewa County, MN",0.6325
cty38031,"Foster County, ND",0.6325
cty20171,"Scott County, KS",0.6324
cty08063,"Kit Carson County, CO",0.6324
cty38083,"Sheridan County, ND",0.6318
cty51017,"Bath County, VA",0.6317
cty27127,"Redwood County, MN",0.6317
cty27033,"Cottonwood County, MN",0.6312
cty31013,"Box Butte County, NE",0.6312
cty17027,"Clinton County, IL",0.6307
cty19123,"Mahaska County, IA",0.6307
cty20207,"Woodson County, KS",0.6301
cty29075,"Gentry County, MO",0.6297
cty08021,"Conejos County, CO",0.6294
cty20149,"Pottawatomie County, KS",0.6294
cty27067,"Kandiyohi County, MN",0.6291
cty56041,"Uinta County, WY",0.6289
cty48333,"Mills County, TX",0.6289
cty30095,"Stillwater County, MT",0.6286
cty19003,"Adams County, IA",0.6285
cty26139,"Ottawa County, MI",0.6284
cty55019,"Clark County, WI",0.6284
cty38013,"Burke County, ND",0.6282
cty19165,"Shelby County, IA",0.6281
cty56003,"Big Horn County, WY",0.6279
cty30025,"Fallon County, MT",0.6279
cty46127,"Union County, SD",0.6279
cty49025,"Kane County, UT",0.6276
cty19191,"Winneshiek County, IA",0.6274
cty46119,"Sully County, SD",0.6274
cty38049,"McHenry County, ND",0.6271
cty08017,"Cheyenne County, CO",0.6268
cty31121,"Merrick County, NE",0.6266
cty27083,"Lyon County, MN",0.6261
cty27153,"Todd County, MN",0.6255
cty27015,"Brown County, MN",0.6251
cty31151,"Saline County, NE",0.6246
cty16019,"Bonneville County, ID",0.6244
cty38003,"Barnes County, ND",0.6242
cty19183,"Washington County, IA",0.624
cty16063,"Lincoln County, ID",0.6239
cty19011,"Benton County, IA",0.6238
cty16067,"Minidoka County, ID",0.6235
cty20113,"McPherson County, KS",0.6234
cty17189,"Washington County, IL",0.6231
cty55015,"Calumet County, WI",0.623
cty30057,"Madison County, MT",0.623
cty19085,"Harrison County, IA",0.6229
cty38053,"McKenzie County, ND",0.6228
cty27029,"Clearwater County, MN",0.6226
cty19061,"Dubuque County, IA",0.6224
cty19019,"Buchanan County, IA",0.6222
cty40129,"Roger Mills County, OK",0.622
cty31033,"Cheyenne County, NE",0.6219
cty48011,"Armstrong County, TX",0.6219
cty31141,"Platte County, NE",0.6218
cty19059,"Dickinson County, IA",0.6218
cty19051,"Davis County, IA",0.6217
cty29011,"Barton County, MO",0.6217
cty40073,"Kingfisher County, OK",0.6215
cty17149,"Pike County, IL",0.6215
cty27039,"Dodge County, MN",0.6213
cty19031,"Cedar County, IA",0.6211
cty18073,"Jasper County, IN",0.621
cty31161,"Sheridan County, NE",0.6208
cty31155,"Saunders County, NE",0.6207
cty18027,"Daviess County, IN",0.6207
cty27145,"Stearns County, MN",0.6206
cty27085,"McLeod County, MN",0.6205
cty20027,"Clay County, KS",0.6203
cty31067,"Gage County, NE",0.6202
cty55043,"Grant County, WI",0.6202
cty05101,"Newton County, AR",0.6201
cty31023,"Butler County, NE",0.6201
cty55065,"Lafayette County, WI",0.62
cty19145,"Page County, IA",0.6199
cty31045,"Dawes County, NE",0.6197
cty08095,"Phillips County, CO",0.6193
cty29045,"Clark County, MO",0.6193
cty39011,"Auglaize County, OH",0.6191
cty02230,"Skagway Municipality, AK",0.619
cty31113,"Logan County, NE",0.6189
cty46011,"Brookings County, SD",0.6185
cty31133,"Pawnee County, NE",0.6182
cty42119,"Union County, PA",0.6179
cty20085,"Jackson County, KS",0.6177
cty46023,"Charles Mix County, SD",0.6176
